Fecha,Marca,Menciones,Mes ,Año,Venta Tienda,Venta en Linea,%
18/06/2026,Chedraui,294,Junio,2026,,,10.90%
19/06/2026,Soriana,254,Junio,2026,"$380,854,752","$7,411,431",12.75%
19/06/2026,HEB,430,Junio,2026,,,21.59%
19/06/2026,Walmart,970,Junio,2026,,,48.69%
19/06/2026,Bodega,59,Junio,2026,,,2.96%
19/06/2026,Chedraui,279,Junio,2026,,,14.01%
20/06/2026,Soriana,154,Junio,2026,"$536,921,613","$6,815,327",17.34%
20/06/2026,HEB,128,Junio,2026,,,14.41%
20/06/2026,Walmart,440,Junio,2026,,,49.55%
20/06/2026,Bodega,60,Junio,2026,,,6.76%
20/06/2026,Chedraui,106,Junio,2026,,,11.94%
21/06/2026,Soriana,175,Junio,2026,"$523,912,045","$4,626,484",17.84%
21/06/2026,HEB,197,Junio,2026,,,20.08%
21/06/2026,Walmart,456,Junio,2026,,,46.48%
21/06/2026,Bodega,81,Junio,2026,,,8.26%
21/06/2026,Chedraui,72,Junio,2026,,,7.34%
22/06/2026,Soriana,218,Junio,2026,,"$5,837,872",11.91%
22/06/2026,HEB,120,Junio,2026,,,6.56%
22/06/2026,Walmart,1292,Junio,2026,,,70.60%
22/06/2026,Bodega,87,Junio,2026,,,4.75%
22/06/2026,Chedraui,113,Junio,2026,,,6.17%
23/06/2026,Soriana,,Junio,2026,,,#DIV/0!
23/06/2026,HEB,,Junio,2026,,,#DIV/0!
23/06/2026,Walmart,,Junio,2026,,,#DIV/0!
23/06/2026,Bodega,,Junio,2026,,,#DIV/0!
23/06/2026,Chedraui,,Junio,2026,,,#DIV/0!
